density,defector_frac,neighbourhood_count,activation_rate,H_tail_mean,H_tail_std,morans_I_mean,morans_I_std,nb_variance_mean,nb_variance_std,steps_mean,n_seeds
0.05,0.0,91,0.6667,0.9344497347094445,0.052185464857787106,0.7297885526737187,0.12310365413507174,0.8062776857836276,0.0932191020967997,437.9,10
0.05,0.0,91,0.7778,0.9435448071207244,0.0336575618734138,0.7110201979609811,0.14025138317241712,0.8381102529440676,0.12802503648804422,450.7,10
0.05,0.0,91,0.8889,0.9299553216758201,0.0381947759816377,0.7067213434142191,0.08390992752990849,0.8714787047404553,0.088544054445885,421.4,10
0.05,0.0,91,1.0,0.9403859210697332,0.03103435153613368,0.7321367294232324,0.1356542823205871,0.8427378258547904,0.10728046636404542,358.4,10
0.05,0.0,113,0.0,0.6058318730016593,0.04850981921755085,0.06201097170657408,0.14854958125799145,0.6990559579284177,0.07745088427130979,150.0,10
0.05,0.0,113,0.1111,0.9211693761786115,0.03927927514397144,0.733828817166156,0.15108821885187207,0.8327697704794664,0.10181610110777413,443.6,10
0.05,0.0,113,0.2222,0.917063803856883,0.04569006916550718,0.6870466894551204,0.15601742500997814,0.8324410375163266,0.09594537839633137,415.5,10
0.05,0.0,113,0.3333,0.9290955549475399,0.04000153909646406,0.7941694886415223,0.14701835607657357,0.8088182560549232,0.06999284098253476,431.8,10
0.05,0.0,113,0.4444,0.9217660095561555,0.03644753173270143,0.7221017285767142,0.15529051841463815,0.8170218461461675,0.07514694437506124,407.3,10
0.05,0.0,113,0.5556,0.9180236983727423,0.044395670748995766,0.7168978935141439,0.12688272501839978,0.8672807994305627,0.07833266611628258,408.4,10
0.05,0.0,113,0.6667,0.9304739475612707,0.03845573677394098,0.8039209074745515,0.16617800896879983,0.8198696933925763,0.09135896147561878,403.6,10
0.05,0.0,113,0.7778,0.9285669487759302,0.036020761709129254,0.7794049290989585,0.13741591872205736,0.8189355218780985,0.059873966373503555,428.4,10
0.05,0.0,113,0.8889,0.9362398555614021,0.03696037692076607,0.7885253266054028,0.13764123507684958,0.8349969410952867,0.06262456633735315,367.8,10
0.05,0.0,113,1.0,0.9279743331797679,0.034572409706151205,0.7589577262947086,0.1407802620519797,0.8079671255145675,0.07830048693335204,391.8,10
0.05,0.0,135,0.0,0.6372831391354385,0.026657697223683673,0.1185599677232096,0.10727864177101451,0.7409252269644637,0.06110028927906046,150.0,10
0.05,0.0,135,0.1111,0.9296498595276578,0.03516980210685681,0.70470358581501,0.09126453293721765,0.8590226100711689,0.10434625115069221,492.4,10
0.05,0.0,135,0.2222,0.9401028811678742,0.02301462619064725,0.8109047190654133,0.15796829985899946,0.8364091008237207,0.0833047759867003,433.5,10
0.05,0.0,135,0.3333,0.9457242911610868,0.03246741674197443,0.7456640539518229,0.11728608324855469,0.8678232861081716,0.08990024790064793,412.8,10
0.05,0.0,135,0.4444,0.9421812972901495,0.028583340591607633,0.7962429685093951,0.11098099515308256,0.8622879090677962,0.09194152129385065,443.2,10
0.05,0.0,135,0.5556,0.9459036782407158,0.026738887936083526,0.7827310742184019,0.11631290097487751,0.8680207174103822,0.08952916959476347,390.4,10
0.05,0.0,135,0.6667,0.9442329952387979,0.0257468280570598,0.814747336686082,0.17515015059422556,0.8735272607749177,0.09006560684005684,369.4,10
0.05,0.0,135,0.7778,0.9598198411107767,0.03380176148905491,0.7837301016940383,0.07838153691036524,0.8698870157752161,0.07447110146093634,365.6,10
0.05,0.0,135,0.8889,0.946453215357117,0.023575189476530232,0.7825802965734757,0.11821456024892198,0.858242272629081,0.05718547345447553,342.6,10
0.05,0.0,135,1.0,0.9393021010024472,0.03225074747174176,0.7350842335865035,0.12152979960406561,0.8489207398288185,0.062444900193381135,394.6,10
0.05,0.0,156,0.0,0.6806363728943176,0.034802510875298155,0.07028729121003266,0.14383627528086354,0.7383819026162856,0.09121314892116336,150.0,10
0.05,0.0,156,0.1111,0.9273100461169644,0.019784809757756622,0.7276412458994759,0.11209685613534313,0.8193770866870684,0.037272090708273975,480.5,10
0.05,0.0,156,0.2222,0.9315295909282233,0.020073305654014988,0.7095392885918856,0.14075959301324092,0.8901187107254127,0.04805881429749568,442.9,10
0.05,0.0,156,0.3333,0.9368828496846273,0.021217445515101883,0.7333102664129031,0.13327544304583555,0.8400211212903292,0.06285475246783197,448.8,10
0.05,0.0,156,0.4444,0.9301690233035439,0.0292002762113506,0.782480402036574,0.09589259770817402,0.8565246324960055,0.0718448118162658,436.8,10
0.05,0.0,156,0.5556,0.9292590434148528,0.023708637096751504,0.7684740107384697,0.12960048987450523,0.818888704068536,0.03874736976414325,428.5,10
0.05,0.0,156,0.6667,0.9354417164630586,0.016036905836067747,0.7510689792582077,0.1422727215730326,0.866307255299229,0.050710411349794975,410.2,10
0.05,0.0,156,0.7778,0.9435265269617682,0.018208286710311244,0.743629867817495,0.07444574243214777,0.8535559454055714,0.05424485061695233,383.5,10
0.05,0.0,156,0.8889,0.9351587069149838,0.02187268451703357,0.7672250259867712,0.14136844667531404,0.8433425291040113,0.06975315542836218,395.9,10
0.05,0.0,156,1.0,0.9288269951509687,0.016262736432615815,0.7964293969541496,0.12920842238635788,0.8370759571037389,0.06249305979374531,386.8,10
0.05,0.0,178,0.0,0.713455591782395,0.03367232985405503,0.06489012162002258,0.13020403147461354,0.7976187338105479,0.07880923024121327,150.0,10
0.05,0.0,178,0.1111,0.9493164462364037,0.03336950677624576,0.7666964697367902,0.15455818949003858,0.8784568760765034,0.0859507486197933,492.5,10
0.05,0.0,178,0.2222,0.9536857492049222,0.028929684840698876,0.7976886124092846,0.11440256085822478,0.8855356870098788,0.06754474281977657,460.0,10
0.05,0.0,178,0.3333,0.9484862502999084,0.033768809145198794,0.8001552533184908,0.09830721437221314,0.8553806219353015,0.10324948188835836,438.9,10
0.05,0.0,178,0.4444,0.9517415297318903,0.03257939707553112,0.7486116341926845,0.15508270202433247,0.8569712628109938,0.09081372726026506,416.9,10
0.05,0.0,178,0.5556,0.9490286199950535,0.029703609852317115,0.7625759744447456,0.11388146724248277,0.891604031998504,0.08121094439061244,393.2,10
0.05,0.0,178,0.6667,0.9528629266603253,0.03256996137153869,0.8328283478215395,0.15950561359696108,0.8783304809463693,0.08503154101117741,367.9,10
0.05,0.0,178,0.7778,0.9587807733510486,0.02335083676157407,0.7850150828278574,0.1614205150017544,0.9078930624722492,0.09560628850830775,338.9,10
0.05,0.0,178,0.8889,0.9568469690542096,0.026892504029197926,0.7612970701581017,0.08768775214926952,0.9073983920349088,0.08380514412896452,356.8,10
0.05,0.0,178,1.0,0.9553603661993504,0.03410749592176899,0.7977503411052538,0.13607547315204474,0.8707025598327547,0.12021117174755334,379.2,10
0.05,0.0,200,0.0,0.7514945829291049,0.026775015967486077,0.0913382831002689,0.1423230845369333,0.8201416753433133,0.07744311019634771,150.0,10
